latitude,longitude,brightness,confidence,acq_date,acq_time,frp,land_cover,vegetation_index,distance_to_industry_km,location_key,persistence_count,land_cover_code,source_class,classification_confidence,confidence_percent,risk_score,nearest_industry,industry_type
20.95611,72.65849,389.15,85,2026-09-07,59,49.91,agriculture,0.676,13.26656364993174,20.96_72.66,1,3,Agricultural Burning,0.6,60.0,35.69,Surat Industrial Site 0160,Industrial Estate
18.19879,74.03727,312.02,74,2026-09-06,1920,9.65,agriculture,0.676,18.734210127882086,18.2_74.04,1,3,Other Thermal Source,0.2,20.0,18.42,Pune Industrial Site 0824,Refinery
23.47648,77.29968,308.39,76,2026-07-15,572,17.3,agriculture,0.676,3.973751165900698,23.48_77.3,1,3,Agricultural Burning,0.55,55.0,30.45,Bhopal Industrial Site 1117,Paper Mill
23.08039,77.53501,343.47,69,2026-01-31,2368,15.1,agriculture,0.676,6.194408779221559,23.08_77.54,1,3,Agricultural Burning,0.35,35.0,27.13,Bhopal Industrial Site 0301,Power Plant
23.52334,86.42134,318.43,78,2026-08-15,2241,16.86,agriculture,0.278,1.8400910961416437,23.52_86.42,1,3,Agricultural Burning,0.55,55.0,31.9,Bokaro Industrial Site 0277,Paper Mill
22.60685,88.12504,403.34,100,2026-09-01,1619,52.48,agriculture,0.278,0.0492919993505575,22.61_88.13,1,3,Agricultural Burning,0.8,80.0,51.77,Kolkata Industrial Site 0147,Paper Mill
18.42394,73.69918,409.85,91,2026-05-20,485,72.81,agriculture,0.676,0.0945130943300923,18.42_73.7,4,3,Agricultural Burning,1.0,100.0,71.36,Pune Industrial Site 0008,Thermal Power Plant
23.03902,69.74454,330.31,84,2026-03-20,1257,16.88,agriculture,0.676,110.4730012930075,23.04_69.74,3,3,Agricultural Burning,0.7,70.0,37.49,Rajkot Industrial Site 0834,Refinery
18.42394,73.96697,403.55,96,2026-06-19,1618,25.85,agriculture,0.676,0.0424856034441334,18.42_73.97,2,3,Agricultural Burning,0.8,80.0,57.58,Pune Industrial Site 0248,Thermal Power Plant
17.69321,72.81842,338.87,89,2026-01-31,237,18.1,agriculture,0.676,107.06875467526535,17.69_72.82,3,3,Agricultural Burning,0.7,70.0,39.05,Pune Industrial Site 0488,Thermal Power Plant
23.91308,86.84683,388.22,88,2026-09-19,56,58.85,agriculture,0.278,3.477263110234874,23.91_86.85,1,3,Agricultural Burning,0.8,80.0,44.09,Asansol Industrial Site 1137,Paper Mill
21.55317,87.36812,321.61,90,2026-07-07,1363,24.95,agriculture,0.278,110.20170519747984,21.55_87.37,1,3,Agricultural Burning,0.6,60.0,23.15,Kolkata Industrial Site 0003,Cement Plant
19.88805,75.71487,408.74,99,2026-05-29,709,80.89,agriculture,0.676,0.0214376607869213,19.89_75.71,1,3,Agricultural Burning,0.8,80.0,66.59,Aurangabad Industrial Site 0380,Industrial Estate
28.46804,77.09321,400.94,93,2026-06-29,446,101.54,built_up,0.023,0.0207365112781195,28.47_77.09,2,1,Other Thermal Source,0.8,80.0,83.98,Faridabad Industrial Site 0230,Industrial Estate
21.15624,79.00005,406.0,98,2026-07-14,1866,56.68,agriculture,0.676,0.0261969406615057,21.16_79.0,2,3,Agricultural Burning,0.8,80.0,70.61,Nagpur Industrial Site 0351,Power Plant
20.24344,85.75641,313.6,70,2026-07-15,200,12.77,agriculture,0.607,0.9845199423572986,20.24_85.76,1,3,Agricultural Burning,0.55,55.0,29.1,Bhubaneswar Industrial Site 0405,Chemical Plant
21.53047,81.76163,364.39,88,2026-01-08,1091,23.7,agriculture,0.676,20.14801397699796,21.53_81.76,1,3,Agricultural Burning,0.6,60.0,26.45,Raipur Industrial Site 0031,Power Plant
18.42393,73.69913,374.67,93,2026-05-15,2026,103.87,agriculture,0.676,0.091101183306672,18.42_73.7,4,3,Agricultural Burning,1.0,100.0,79.6,Pune Industrial Site 0008,Thermal Power Plant
10.01416,76.17392,392.7,95,2026-01-10,1633,72.52,agriculture,0.676,0.0498882952209552,10.01_76.17,1,3,Agricultural Burning,0.8,80.0,57.57,Kochi Industrial Site 0217,Paper Mill
24.33419,74.98823,340.68,94,2026-06-18,1483,20.03,agriculture,0.676,105.60322655819972,24.33_74.99,3,3,Agricultural Burning,0.8,80.0,40.02,Kota Industrial Site 0329,Manufacturing Unit
28.65386,77.09682,406.41,92,2026-06-28,2090,95.86,built_up,0.023,0.0494542060913842,28.65_77.1,2,1,Other Thermal Source,0.8,80.0,75.7,Gurugram Industrial Site 0375,Chemical Plant
22.89709,88.35616,409.74,94,2026-02-05,982,82.99,agriculture,0.278,0.0169434146496402,22.9_88.36,3,3,Agricultural Burning,1.0,100.0,86.14,Kolkata Industrial Site 0051,Power Plant
23.53784,87.47296,392.79,95,2026-07-01,1814,86.93,agriculture,0.278,0.0510720637919912,23.54_87.47,2,3,Agricultural Burning,0.8,80.0,72.98,Durgapur Industrial Site 0080,Industrial Estate
26.21456,91.79768,387.8,92,2026-04-01,1071,72.66,built_up,0.161,5.691627366948872,26.21_91.8,1,1,Other Thermal Source,0.6,60.0,46.7,Guwahati Industrial Site 0218,Thermal Power Plant
21.48027,81.59218,309.75,43,2026-06-04,832,0.73,agriculture,0.676,9.749572827242476,21.48_81.59,1,3,Other Thermal Source,0.0,0.0,15.61,Raipur Industrial Site 1087,Paper Mill
25.86113,84.70085,376.08,93,2026-02-22,1267,62.76,built_up,0.023,0.0399754136939937,25.86_84.7,3,1,Other Thermal Source,1.0,100.0,75.92,Patna Industrial Site 0012,Steel Plant
22.41424,70.76595,383.97,97,2026-06-30,2238,59.91,agriculture,0.676,0.038531552005509,22.41_70.77,2,3,Agricultural Burning,0.8,80.0,68.54,Rajkot Industrial Site 0114,Refinery
12.95624,77.66708,382.13,92,2026-07-04,734,84.35,agriculture,0.676,0.0775571544085894,12.96_77.67,2,3,Agricultural Burning,0.8,80.0,66.49,Bengaluru Industrial Site 0149,Manufacturing Unit
28.87083,77.67118,390.24,91,2026-05-12,1109,58.22,built_up,0.023,0.027949085853618,28.87_77.67,2,1,Other Thermal Source,0.8,80.0,70.55,Delhi Industrial Site 0097,Paper Mill
25.19805,75.67012,396.78,92,2026-06-02,2056,33.37,industrial,0.012,0.015539999999806,25.2_75.67,2,0,Industrial Fire,0.8,80.0,65.31,Kota Industrial Site 0377,Paper Mill
14.12469,79.39929,331.85,91,2026-07-09,2269,19.21,agriculture,0.676,109.03112384871278,14.12_79.4,2,3,Agricultural Burning,0.5,50.0,33.0,Chennai Industrial Site 0484,Refinery
23.32108,85.83363,338.18,73,2026-07-20,1456,16.09,agriculture,0.278,20.71901942724394,23.32_85.83,1,3,Agricultural Burning,0.35,35.0,22.66,Bokaro Industrial Site 0325,Chemical Plant
23.72293,87.33486,378.5,98,2026-02-02,575,60.05,agriculture,0.278,0.0459545362293018,23.72_87.33,1,3,Agricultural Burning,0.8,80.0,54.75,Durgapur Industrial Site 0272,Steel Plant
17.31202,78.60723,408.83,92,2026-05-10,1178,58.53,agriculture,0.676,0.0440237810738267,17.31_78.61,2,3,Agricultural Burning,0.8,80.0,66.75,Hyderabad Industrial Site 0102,Steel Plant
23.45285,86.91402,372.81,98,2026-03-09,1597,64.21,agriculture,0.278,0.022227732677074,23.45_86.91,2,3,Agricultural Burning,0.8,80.0,73.75,Asansol Industrial Site 0177,Paper Mill
10.01227,76.11787,322.96,90,2026-01-14,2136,6.52,agriculture,0.676,6.272298952649359,10.01_76.12,3,3,Other Thermal Source,0.55,55.0,39.25,Kochi Industrial Site 0217,Paper Mill
18.39071,73.63707,338.76,89,2026-05-10,1629,3.9,agriculture,0.676,4.228876391727269,18.39_73.64,1,3,Other Thermal Source,0.55,55.0,21.06,Pune Industrial Site 0920,Industrial Estate
28.55865,77.04191,357.51,86,2026-06-03,87,42.64,built_up,0.023,1.2366256882345,28.56_77.04,1,1,Other Thermal Source,0.8,80.0,41.34,Gurugram Industrial Site 0519,Manufacturing Unit
22.40895,73.64615,407.66,95,2026-03-23,864,36.54,agriculture,0.676,0.035328703627839,22.41_73.65,4,3,Agricultural Burning,1.0,100.0,71.41,Vadodara Industrial Site 0065,Chemical Plant
23.72308,87.33501,382.98,98,2026-04-23,1491,114.91,agriculture,0.278,0.0693550171216471,23.72_87.34,2,3,Agricultural Burning,0.8,80.0,75.05,Durgapur Industrial Site 0272,Steel Plant
21.58882,74.77706,328.57,90,2026-09-01,1151,23.26,agriculture,0.676,134.69493778132644,21.59_74.78,1,3,Agricultural Burning,0.6,60.0,21.55,Indore Industrial Site 0014,Refinery
