site_name,site_type,latitude,longitude
Delhi Industrial Site 0001,Power Plant,28.55071,77.06972
Mumbai Industrial Site 0002,Steel Plant,19.06465,72.78268
Kolkata Industrial Site 0003,Cement Plant,22.11302,88.18802
Chennai Industrial Site 0004,Refinery,12.92504,80.26767
Bengaluru Industrial Site 0005,Chemical Plant,12.87835,77.55741
Hyderabad Industrial Site 0006,Textile Industry,17.60499,78.5461
Ahmedabad Industrial Site 0007,Paper Mill,22.86482,72.62941
Pune Industrial Site 0008,Thermal Power Plant,18.42449,73.69853
Jaipur Industrial Site 0009,Manufacturing Unit,26.8273,75.66376
Lucknow Industrial Site 0010,Industrial Estate,26.72363,80.84816
Kanpur Industrial Site 0011,Power Plant,26.48796,80.3457
Patna Industrial Site 0012,Steel Plant,25.86149,84.70086
Bhopal Industrial Site 0013,Cement Plant,23.57181,77.20322
Indore Industrial Site 0014,Refinery,22.35438,75.71856
Nagpur Industrial Site 0015,Chemical Plant,21.00487,79.24417
Surat Industrial Site 0016,Textile Industry,21.03249,72.50242
Vadodara Industrial Site 0017,Paper Mill,22.33489,73.17428
Rajkot Industrial Site 0018,Thermal Power Plant,22.19208,70.84445
Ranchi Industrial Site 0019,Manufacturing Unit,23.11137,85.31297
Jamshedpur Industrial Site 0020,Industrial Estate,22.83951,86.19311
Bhubaneswar Industrial Site 0021,Power Plant,20.1622,85.84296
Visakhapatnam Industrial Site 0022,Steel Plant,17.74784,83.33989
Vijayawada Industrial Site 0023,Cement Plant,16.31456,80.57306
Coimbatore Industrial Site 0024,Refinery,11.13861,77.03764
Kochi Industrial Site 0025,Chemical Plant,10.0933,76.10909
Guwahati Industrial Site 0026,Textile Industry,26.40876,91.90288
Ludhiana Industrial Site 0027,Paper Mill,30.95699,75.6008
Amritsar Industrial Site 0028,Thermal Power Plant,31.61285,74.69174
Bikaner Industrial Site 0029,Manufacturing Unit,28.06934,73.34709
Jodhpur Industrial Site 0030,Industrial Estate,26.40067,72.81732
Raipur Industrial Site 0031,Power Plant,21.36449,81.68816
Durgapur Industrial Site 0032,Steel Plant,23.50171,87.50927
Asansol Industrial Site 0033,Cement Plant,23.88216,86.97633
Gaya Industrial Site 0034,Refinery,24.7701,85.03015
Begusarai Industrial Site 0035,Chemical Plant,25.67963,86.30559
Munger Industrial Site 0036,Textile Industry,25.48064,86.60325
Bokaro Industrial Site 0037,Paper Mill,23.58867,86.03271
Faridabad Industrial Site 0038,Thermal Power Plant,28.74654,77.23742
Gurugram Industrial Site 0039,Manufacturing Unit,28.37366,77.04712
Noida Industrial Site 0040,Industrial Estate,28.25251,77.4561
Kota Industrial Site 0041,Power Plant,25.28683,75.75602
Agra Industrial Site 0042,Steel Plant,27.36508,78.06709
Nashik Industrial Site 0043,Cement Plant,19.91867,73.83478
Aurangabad Industrial Site 0044,Refinery,19.90844,75.27841
Thane Industrial Site 0045,Chemical Plant,19.57919,72.91753
Jalandhar Industrial Site 0046,Textile Industry,31.22875,75.74668
Panipat Industrial Site 0047,Paper Mill,29.29542,77.16187
Vapi Industrial Site 0048,Thermal Power Plant,20.45599,73.05646
Delhi Industrial Site 0049,Manufacturing Unit,28.44876,77.03419
Mumbai Industrial Site 0050,Industrial Estate,19.24911,72.47864
Kolkata Industrial Site 0051,Power Plant,22.89701,88.35603
Chennai Industrial Site 0052,Steel Plant,12.96149,80.21749
Bengaluru Industrial Site 0053,Cement Plant,13.12249,77.87389
Hyderabad Industrial Site 0054,Refinery,17.42656,78.29285
Ahmedabad Industrial Site 0055,Chemical Plant,23.07579,73.04555
Pune Industrial Site 0056,Textile Industry,18.65306,73.87117
Jaipur Industrial Site 0057,Paper Mill,26.75139,75.62694
Lucknow Industrial Site 0058,Thermal Power Plant,27.24068,80.85658
Kanpur Industrial Site 0059,Manufacturing Unit,26.38052,80.38832
Patna Industrial Site 0060,Industrial Estate,25.71727,85.30228
Bhopal Industrial Site 0061,Power Plant,23.18842,77.60392
Indore Industrial Site 0062,Steel Plant,22.61512,75.82892
Nagpur Industrial Site 0063,Cement Plant,21.09422,78.76569
Surat Industrial Site 0064,Refinery,21.2531,73.00551
Vadodara Industrial Site 0065,Chemical Plant,22.40873,73.64592
Rajkot Industrial Site 0066,Textile Industry,21.98452,70.63924
Ranchi Industrial Site 0067,Paper Mill,23.34306,85.39381
Jamshedpur Industrial Site 0068,Thermal Power Plant,22.73693,86.3813
Bhubaneswar Industrial Site 0069,Manufacturing Unit,20.32311,85.6276
Visakhapatnam Industrial Site 0070,Industrial Estate,17.79492,83.13205
Vijayawada Industrial Site 0071,Power Plant,16.39218,80.58973
