latitude,longitude,brightness,confidence,acq_date,acq_time,frp,land_cover,vegetation_index,distance_to_industry_km,location_key,persistence_count,land_cover_code,source_class,classification_confidence,confidence_percent,risk_score,nearest_industry,industry_type
20.95611,72.65849,389.15,85,2026-09-07,59,49.91,industrial,0.2,13.26656364993174,20.96_72.66,1,0,Other Thermal Source,0.6,60.0,32.89,Surat Industrial Site 0160,Industrial Estate
18.19879,74.03727,312.02,74,2026-09-06,1920,9.65,industrial,0.2,18.734210127882086,18.2_74.04,1,0,Other Thermal Source,0.2,20.0,14.93,Pune Industrial Site 0824,Refinery
23.47648,77.29968,308.39,76,2026-07-15,572,17.3,industrial,0.2,3.973751165900698,23.48_77.3,1,0,Industrial Fire,0.55,55.0,27.51,Bhopal Industrial Site 1117,Paper Mill
23.08039,77.53501,343.47,69,2026-01-31,2368,15.1,industrial,0.2,6.194408779221559,23.08_77.54,1,0,Other Thermal Source,0.35,35.0,23.94,Bhopal Industrial Site 0301,Power Plant
23.52334,86.42134,318.43,78,2026-08-15,2241,16.86,agriculture,0.278,1.8400910961416435,23.52_86.42,1,3,Agricultural Burning,0.55,55.0,28.63,Bokaro Industrial Site 0277,Paper Mill
22.60685,88.12504,403.34,100,2026-09-01,1619,52.48,agriculture,0.278,0.049291999350557565,22.61_88.13,7,3,Agricultural Burning,1.0,100.0,60.91,Kolkata Industrial Site 0147,Paper Mill
18.42394,73.69918,409.85,91,2026-05-20,485,72.81,industrial,0.2,0.09451309433009233,18.42_73.7,8,0,Persistent Industrial Thermal Source,1.0,100.0,66.48,Pune Industrial Site 0008,Thermal Power Plant
23.03902,69.74454,330.31,84,2026-03-20,1257,16.88,industrial,0.2,110.4730012930075,23.04_69.74,5,0,Other Thermal Source,0.7,70.0,24.96,Rajkot Industrial Site 0834,Refinery
18.42394,73.96697,403.55,96,2026-06-19,1618,25.85,industrial,0.2,0.0424856034441334,18.42_73.97,8,0,Persistent Industrial Thermal Source,1.0,100.0,61.1,Pune Industrial Site 0248,Thermal Power Plant
17.69321,72.81842,338.87,89,2026-01-31,237,18.1,industrial,0.2,107.06875467526537,17.69_72.82,5,0,Other Thermal Source,0.7,70.0,26.19,Pune Industrial Site 0488,Thermal Power Plant
23.91308,86.84683,388.22,88,2026-09-19,56,58.85,agriculture,0.278,3.477263110234874,23.91_86.85,1,3,Agricultural Burning,0.8,80.0,41.73,Asansol Industrial Site 1137,Paper Mill
21.55317,87.36812,321.61,90,2026-07-07,1363,24.95,agriculture,0.278,110.20170519747984,21.55_87.37,5,3,Agricultural Burning,0.8,80.0,28.43,Kolkata Industrial Site 0003,Cement Plant
19.88805,75.71487,408.74,99,2026-05-29,709,80.89,industrial,0.2,0.021437660786921327,19.89_75.71,6,0,Persistent Industrial Thermal Source,1.0,100.0,75.52,Aurangabad Industrial Site 0380,Industrial Estate
28.46804,77.09321,400.94,93,2026-06-29,446,101.54,built_up,0.023,0.020736511278119513,28.47_77.09,8,1,Other Thermal Source,1.0,100.0,87.56,Faridabad Industrial Site 0230,Industrial Estate
21.15624,79.00005,406.0,98,2026-07-14,1866,56.68,industrial,0.2,0.026196940661505727,21.16_79.0,8,0,Persistent Industrial Thermal Source,1.0,100.0,74.82,Nagpur Industrial Site 0351,Power Plant
20.24344,85.75641,313.6,70,2026-07-15,200,12.77,agriculture,0.607,0.9845199423572986,20.24_85.76,1,3,Agricultural Burning,0.55,55.0,25.82,Bhubaneswar Industrial Site 0405,Chemical Plant
21.53047,81.76163,364.39,88,2026-01-08,1091,23.7,industrial,0.2,20.148013976997962,21.53_81.76,1,0,Other Thermal Source,0.6,60.0,23.08,Raipur Industrial Site 0031,Power Plant
18.42393,73.69913,374.67,93,2026-05-15,2026,103.87,industrial,0.2,0.09110118330667209,18.42_73.7,8,0,Persistent Industrial Thermal Source,1.0,100.0,73.93,Pune Industrial Site 0008,Thermal Power Plant
10.01416,76.17392,392.7,95,2026-01-10,1633,72.52,industrial,0.2,0.04988829522095522,10.01_76.17,8,0,Persistent Industrial Thermal Source,1.0,100.0,73.62,Kochi Industrial Site 0217,Paper Mill
24.33419,74.98823,340.68,94,2026-06-18,1483,20.03,industrial,0.2,105.60322655819971,24.33_74.99,5,0,Other Thermal Source,0.8,80.0,26.99,Kota Industrial Site 0329,Manufacturing Unit
28.65386,77.09682,406.41,92,2026-06-28,2090,95.86,built_up,0.023,0.04945420609138429,28.65_77.1,8,1,Other Thermal Source,1.0,100.0,79.42,Gurugram Industrial Site 0375,Chemical Plant
22.89709,88.35616,409.74,94,2026-02-05,982,82.99,agriculture,0.278,0.016943414649640273,22.9_88.36,8,3,Agricultural Burning,1.0,100.0,83.95,Kolkata Industrial Site 0051,Power Plant
23.53784,87.47296,392.79,95,2026-07-01,1814,86.93,agriculture,0.278,0.05107206379199123,23.54_87.47,8,3,Agricultural Burning,1.0,100.0,77.01,Durgapur Industrial Site 0080,Industrial Estate
26.21456,91.79768,387.8,92,2026-04-01,1071,72.66,agriculture,0.44,5.691627366948872,26.21_91.8,1,3,Agricultural Burning,0.6,60.0,44.02,Guwahati Industrial Site 0218,Thermal Power Plant
21.48027,81.59218,309.75,43,2026-06-04,832,0.73,industrial,0.2,9.749572827242476,21.48_81.59,1,0,Other Thermal Source,0.0,0.0,12.27,Raipur Industrial Site 1087,Paper Mill
25.86113,84.70085,376.08,93,2026-02-22,1267,62.76,built_up,0.023,0.03997541369399379,25.86_84.7,8,1,Other Thermal Source,1.0,100.0,73.47,Patna Industrial Site 0012,Steel Plant
22.41424,70.76595,383.97,97,2026-06-30,2238,59.91,industrial,0.2,0.03853155200550902,22.41_70.77,8,0,Persistent Industrial Thermal Source,1.0,100.0,72.99,Rajkot Industrial Site 0114,Refinery
12.95624,77.66708,382.13,92,2026-07-04,734,84.35,industrial,0.2,0.07755715440858942,12.96_77.67,8,0,Persistent Industrial Thermal Source,1.0,100.0,70.49,Bengaluru Industrial Site 0149,Manufacturing Unit
28.87083,77.67118,390.24,91,2026-05-12,1109,58.22,built_up,0.023,0.02794908585361807,28.87_77.67,8,1,Other Thermal Source,1.0,100.0,75.01,Delhi Industrial Site 0097,Paper Mill
